,date,color -- streamlit-generated,value -- streamlit-generated
470,2023-04-17T00:00:00.000,observed,6490368
471,2023-04-18T00:00:00.000,observed,5537376
472,2023-04-19T00:00:00.000,observed,5152032
473,2023-04-20T00:00:00.000,observed,4832352
474,2023-04-21T00:00:00.000,observed,4714848
475,2023-04-22T00:00:00.000,observed,4289760
476,2023-04-23T00:00:00.000,observed,4161023.9999999995
477,2023-04-24T00:00:00.000,observed,4238784
478,2023-04-25T00:00:00.000,observed,4328640
479,2023-04-26T00:00:00.000,observed,7293024
480,2023-04-27T00:00:00.000,observed,4777920
481,2023-04-28T00:00:00.000,observed,4465152
482,2023-04-29T00:00:00.000,observed,6846336
483,2023-04-30T00:00:00.000,observed,11062656
484,2023-05-01T00:00:00.000,observed,7387200
485,2023-05-02T00:00:00.000,observed,6166368
486,2023-05-03T00:00:00.000,observed,5514912
487,2023-05-04T00:00:00.000,observed,5307552
488,2023-05-05T00:00:00.000,observed,5240160
489,2023-05-06T00:00:00.000,observed,8876736
490,2023-05-07T00:00:00.000,observed,73880640
491,2023-05-08T00:00:00.000,observed,40090464
492,2023-05-09T00:00:00.000,observed,15687648
493,2023-05-10T00:00:00.000,observed,9562752
494,2023-05-11T00:00:00.000,observed,7928928
495,2023-05-12T00:00:00.000,observed,6779808
496,2023-05-13T00:00:00.000,observed,6302016
497,2023-05-14T00:00:00.000,observed,6380639.999999999
498,2023-05-15T00:00:00.000,observed,5370624
499,2023-05-16T00:00:00.000,observed,4839264
500,2023-05-17T00:00:00.000,observed,4784832
501,2023-05-18T00:00:00.000,observed,4625856
502,2023-05-19T00:00:00.000,observed,4916160
503,2023-05-20T00:00:00.000,observed,4610304
504,2023-05-21T00:00:00.000,observed,4135968
505,2023-05-22T00:00:00.000,observed,4052160
506,2023-05-23T00:00:00.000,observed,3827519.9999999995
507,2023-05-24T00:00:00.000,observed,3705696
508,2023-05-25T00:00:00.000,observed,3532032
509,2023-05-26T00:00:00.000,observed,3545856
510,2023-05-27T00:00:00.000,observed,3444768
511,2023-05-28T00:00:00.000,observed,3372192
512,2023-05-29T00:00:00.000,observed,3706560
513,2023-05-30T00:00:00.000,observed,7281792
514,2023-05-31T00:00:00.000,observed,35041248
515,2023-06-01T00:00:00.000,observed,13417056
516,2023-06-02T00:00:00.000,observed,12035520.000000002
517,2023-06-03T00:00:00.000,observed,9810720
518,2023-06-04T00:00:00.000,observed,7452000
519,2023-06-05T00:00:00.000,observed,6438528
520,2023-06-06T00:00:00.000,observed,8848224
521,2023-06-07T00:00:00.000,observed,8656416
522,2023-06-08T00:00:00.000,observed,13684032
523,2023-06-09T00:00:00.000,observed,16833312
524,2023-06-10T00:00:00.000,observed,11342592
